transaction_id,user_id,timestamp,amount,location,device_device
5ef29a79-abac-4b8e-b24f-0956131498ab,30f15198,2026-06-07 22:35:18,4060.72,New Brentbury,Mobile_iOS
b83d7934-4a3d-467b-9564-e0a966c3a9c8,30f15198,2026-06-08 09:57:18,1818.32,Hawkinschester,Mobile_iOS
6d09f244-b4c3-4cd7-abbb-812cefdbd3b2,0720739d,2026-06-08 13:24:18,1903.39,Port Michele,Desktop_Web
93e39daa-a29c-4223-adac-1a871c652fff,0720739d,2026-06-07 23:56:18,4385.71,Lake Randallburgh,Mobile_Android
6744f799-d27d-4719-9a73-9c24fa860b44,0720739d,2026-06-08 08:47:18,1349.51,Jamesport,Mobile_Android
be1c9479-cd4a-481f-878f-2ab38ef1ea80,30f15198,2026-06-08 01:10:18,2741.94,Lake Wendy,Mobile_Android
083d165c-fc08-49f4-b7f4-f65f2b1e9a95,f7b43899,2026-06-08 05:36:18,3734.4,Gilbertton,Mobile_iOS
155f8b59-a6b3-4e80-a36f-271a99ddb275,5cc3295c,2026-06-08 13:14:18,82619.64,Fernandezton,Desktop_Web
3be1dde8-e82a-4752-a0cd-46ead757ee51,0720739d,2026-06-08 05:50:18,902.85,Youngfort,Desktop_Web
b31eaae8-69a6-413d-97a2-db7c82c1bcfc,5cc3295c,2026-06-08 02:42:18,76370.94,Williamhaven,Desktop_Web
72cd9c83-4f41-4c99-968a-fad7f387a843,f7b43899,2026-06-08 01:51:18,1312.55,Murraymouth,Mobile_iOS
4368e639-486c-4b8a-b04d-852a9a585963,2eb14859,2026-06-08 09:59:18,901.17,West Williamstad,Mobile_Android
2dc8aaef-f1e0-46f9-a69e-6863746ad78f,30f15198,2026-06-08 00:45:18,613.43,Goodwinville,Desktop_Web
a4543b29-934e-4698-b480-2e9258d127c8,2eb14859,2026-06-08 02:35:18,1401.03,East Staceyport,Mobile_iOS
0d85998c-02ff-4cd8-b037-4e8a4f0fadea,f7b43899,2026-06-08 04:19:18,3933.47,West Alexisside,Mobile_iOS
10a68b7a-c564-4c13-bd63-7a38e16afb35,30f15198,2026-06-08 01:30:18,1635.02,Angelamouth,Desktop_Web
08f2522e-fd6d-4ece-ac34-be9a269a17d6,0e608a78,2026-06-07 23:19:18,4115.55,Brianborough,Mobile_iOS
2aa44074-1c8b-44aa-8f49-8d6ccfa5e449,30f15198,2026-06-08 09:29:18,4356.65,Port Ethanfurt,Desktop_Web
0de34c7b-8d81-4e44-b0ba-5d113ba69a0b,0720739d,2026-06-08 11:04:18,3874.86,Elizabethfort,Mobile_Android
7cbda2fa-3fea-4667-89c8-ba10a79a831d,5cc3295c,2026-06-07 23:32:18,2784.92,New Sheilafurt,Mobile_iOS
ae4af679-0d0b-4ddd-891f-85c4a87d272f,9d846772,2026-06-08 01:28:18,640.69,Gutierrezchester,Desktop_Web
dadde244-54e8-4da7-90d4-0f054cc502da,5cc3295c,2026-06-08 08:27:18,48.64,West Lisaport,Desktop_Web
fc20f7b1-9ba2-4b9c-9080-c32a637fbded,1b025286,2026-06-08 10:27:18,827.38,East Erin,Desktop_Web
6b23bfcb-de4d-4f46-8184-d092a09b32fc,f7b43899,2026-06-08 11:39:18,3394.46,Brittanyton,Mobile_iOS
9535cfab-5529-4588-8505-10a9631f1654,9d846772,2026-06-08 08:55:18,3813.64,,Desktop_Web
59ba3f57-ec4d-4402-b3c2-8bc43d374150,f7b43899,2026-06-08 13:03:18,3336.05,South Whitneyhaven,Desktop_Web
d311792d-135b-45e8-9f2e-cb9fb6627e37,f7b43899,2026-06-08 11:35:18,1553.7,South Jesusshire,Mobile_Android
02acefda-3264-4e8b-a0ff-b78dfedfe81c,93ba10b2,2026-06-08 10:55:18,3787.7,Derrickhaven,Desktop_Web
9ab3929f-1658-4351-a93c-8feae8d218a7,f7b43899,2026-06-07 22:57:18,2559.1,Port Jorge,Desktop_Web
4c8fbe38-e7b4-433f-93c2-0f06dd1d424f,9d846772,2026-06-08 02:02:18,3334.82,Gordonfort,Desktop_Web
65fb1123-28a0-411e-94a4-c317eed76737,0e608a78,2026-06-08 08:03:18,96.23,New Audrey,Mobile_iOS
dee57be5-c751-4bab-b1e8-9c93de7824c4,93ba10b2,2026-06-08 12:49:18,2754.85,Porterchester,Mobile_Android
41da2504-436c-47bb-b265-3cd90bbd1410,30f15198,2026-06-08 11:20:18,2229.02,New Christine,Mobile_Android
4db1871b-401b-440b-9f30-9773e51bd26b,1b025286,2026-06-08 08:55:18,1388.01,Mooreville,Mobile_Android
9aff7f88-4bcd-4d0b-a456-062aac3caebe,5cc3295c,2026-06-08 01:30:18,410.65,Lauraburgh,Mobile_iOS
4fc35e95-0058-43a1-85d6-e3ee31d63924,f7b43899,2026-06-08 04:32:18,1989.38,Lake Daniel,Mobile_Android
38bc5a2a-9130-4069-8596-0b85dec13198,a8410e34,2026-06-07 21:25:18,320.58,New Jameston,Desktop_Web
b308757e-a7d9-4b1c-b3b5-a2be59ea7fdf,f7b43899,2026-06-08 06:13:18,451.09,South Thomasburgh,Desktop_Web
f8311d48-f623-41a4-9104-b6b46c55769e,0720739d,2026-06-08 02:54:18,3095.41,South George,Mobile_Android
e11268ff-ada7-491c-a2cc-d1665033449c,0e608a78,2026-06-08 07:46:18,3553.29,East Melissa,Mobile_iOS
59b730a1-7aff-45b2-8b65-e845cebe4f12,9d846772,2026-06-08 13:12:18,1418.41,Johnsonstad,Mobile_Android
c4f83ab0-7719-4853-8b6c-943db41865d8,30f15198,2026-06-08 09:05:18,4989.58,Lopezmouth,Desktop_Web
303b6f4f-6a68-4573-8775-1b4c68e8f162,9d846772,2026-06-08 02:43:18,3539.69,Port Antonioview,Mobile_iOS
95919dc8-6c72-495a-9f09-550fe6fe8fc0,0e608a78,2026-06-08 13:25:18,2432.0,Woodburgh,Mobile_iOS
25d46011-ad66-4b8a-9139-4c062ac6cd51,9d846772,2026-06-08 02:05:18,3953.26,Watkinsshire,Mobile_Android
27295e24-19b3-4c4c-9468-47f06a3a7f2a,9d846772,2026-06-08 13:22:18,1468.64,Whitestad,Mobile_iOS
26d8b812-d902-49f2-99a4-5870c6a0c912,30f15198,2026-06-08 02:16:18,487.03,Meganton,Mobile_Android
7e9065a8-f5eb-480a-a01e-a9910e6fc507,1b025286,2026-06-08 11:41:18,2897.76,Lake Sandra,Desktop_Web
3d0cbb4b-ccdf-4244-9495-45033f919b8d,0e608a78,2026-06-08 05:46:18,611.09,Patrickberg,Mobile_Android
3628f048-5600-456b-a771-a0040b160f3b,0e608a78,2026-06-07 21:46:18,1743.23,East Kevin,Mobile_iOS
0fdfdf70-d7a2-4d6d-9b51-80b9a704c691,0720739d,2026-06-08 12:42:18,2275.05,South Johnborough,Mobile_Android
6f79273f-eac1-432b-977c-d36ed9208621,9d846772,2026-06-08 04:27:18,4701.16,East Stephaniemouth,Mobile_Android
e8074497-f5ae-4f0c-a54e-7e7fbc20ab05,9d846772,2026-06-07 23:20:18,4437.65,West Cody,Mobile_iOS
5272bcf4-80ec-4494-a653-a1d904274a74,9d846772,2026-06-07 23:49:18,1507.76,North Jeremy,Desktop_Web
