transaction_id,user_id,timestamp,amount,location,device_device
8bff233b-a8f3-4cf0-b6ae-b93a0aab88c2,USER_0585,2026-06-06 15:17:03,34598.69,New York,Desktop_Web
8d47a6ba-ec7c-46ce-9500-d1d23904f391,USER_0836,2026-06-06 15:17:20,846.89,Dubai,Mobile_iOS
7c394b94-82ba-4a89-b339-b8f23484603c,USER_0497,2026-06-06 15:17:38,96.89,Delhi,Mobile_iOS
4ca9a5dd-b957-4400-aa80-90e693b4ba64,USER_0001,2026-06-06 15:17:53,1472.28,Paris,Mobile_iOS
e6cbc5bc-41e3-4624-9570-6ecd45376577,USER_0794,2026-06-06 15:18:06,1939.0,Paris,Mobile_iOS
1506b7c4-bf7e-43f2-8779-fe6cebaa3edd,USER_0939,2026-06-06 15:18:29,1467.94,Delhi,Mobile_iOS
faad1a1d-45b1-42a1-a8dd-d3c00907558e,USER_0760,2026-06-06 15:18:44,737.56,Paris,Mobile_Android
6fc2ed44-d0a0-4ea5-a1ed-30982946abdf,USER_0967,2026-06-06 15:19:09,1233.72,Sydney,Mobile_iOS
12bc702e-c402-453e-8bff-57f0756526a7,USER_0313,2026-06-06 15:19:37,1500.88,Delhi,Mobile_iOS
500ce48c-95c0-4f06-88a6-f342f7f10ab6,USER_0140,2026-06-06 15:19:58,940.56,London,Mobile_Android
f54e0d27-281f-491b-92bf-248965110154,USER_0646,2026-06-06 15:20:09,804.63,Delhi,Desktop_Web
6708551b-06a3-46f5-b6b1-14c0615bedac,USER_0803,2026-06-06 15:20:34,640.23,Delhi,Desktop_Web
7c6ffee2-6cec-482e-8afe-68f8d0d40f28,USER_0141,2026-06-06 15:20:39,1306.41,Delhi,Desktop_Web
dcb59908-dadc-48d8-b1c9-495f2fa2dc61,USER_0271,2026-06-06 15:21:06,753.23,Mumbai,Mobile_Android
a9df18c2-d3de-4a31-adf1-371f4a67521d,USER_0544,2026-06-06 15:21:24,1572.24,Sydney,Mobile_iOS
c2ba76e2-0864-4d9e-80fa-17c5b07dc406,USER_0450,2026-06-06 15:21:43,1228.39,Sydney,Mobile_Android
4f49df0f-d684-46a1-bcbe-49c00b5a5eaf,USER_0891,2026-06-06 15:22:06,84.4,Paris,Mobile_iOS
deac390e-66bd-42f8-9f5d-08807c24180e,USER_0981,2026-06-06 15:22:35,1851.82,Mumbai,Desktop_Web
6d84f693-c69f-4420-ae5d-b3fcaa3eb5f8,USER_0797,2026-06-06 15:22:58,529.13,Paris,Desktop_Web
b4114d67-f2a4-4aaf-8c1f-8f26acf47d8b,USER_0866,2026-06-06 15:23:16,1217.33,Mumbai,Mobile_iOS
